"HUC8","NAME"
"16040201","Upper Quinn"
"16040205","Thousand-Virgin"
"18010201","Williamson"
"18010202","Sprague"
"18010203","Upper Klamath Lake"
"18010101","Smith"
"18010205","Butte"
"18010209","Lower Klamath"
"16010203","Little Bear-Logan"
"17100103","Upper Chehalis"
"17110009","Skykomish"
"17040213","Salmon Falls"
"17050117","Lower Malheur"
"18010204","Lost"
"18010206","Upper Klamath"
"18020001","Goose Lake"
"16010202","Middle Bear"
"16010204","Lower Bear-Malad"
"16020309","Curlew Valley"
"17100309","Applegate"
"17100311","Illinois"
"17100312","Chetco"
"17110001","Sumas River"
"17120007","Warner Lakes"
"17120008","Guano"
"17100201","Necanicum"
"17100202","Nehalem"
"17100203","Wilson-Trusk-Nestuccu"
"17100204","Siletz-Yaquina"
"17100205","Alsea"
"17100206","Siuslaw"
"17100207","Siltcoos"
"17100301","North Umpqua"
"17100302","South Umpqua"
"17100303","Umpqua"
"17100304","Coos"
"17100305","Coquille"
"17100306","Sixes"
"17100307","Upper Rogue"
"17100308","Middle Rogue"
"17100310","Lower Rogue"
"17120001","Harney-Malheur Lakes"
"17120002","Silvies"
"17120003","Donner und Blitzen"
"17120004","Silver"
"17120005","Summer Lake"
"17120006","Lake Abert"
"17120009","Alvord Lake"
"17100101","Hoh-Quillayute"
"17100102","Queets-Quinault"
"17100104","Lower Chehalis"
"17100105","Grays Harbor"
"17100106","Willapa Bay"
"17110004","Nooksack"
"17110006","Sauk"
"17110007","Lower Skagit"
"17110008","Stillaguamish"
"17110010","Snoqualmie"
"17110011","Snohomish"
"17110012","Lake Washington"
"17110013","Duwamish"
"17110014","Puyallup"
"16010201","Bear Lake"
"16010102","Central Bear"
"17110015","Nisqually"
"17110016","Deschutes"
"17110017","Skokomish"
"17110018","Hood Canal"
"17110019","Puget Sound"
"17110002","Strait of Georgia"
"17110003","San Juan Islands"
"17110005","Upper Skagit"
"17110020","Dungeness-Elwha"
"17110021","Crescent-Hoko"
"17010301","Upper Coeur d'Alene"
"17010302","South Fork Coeur d'Alene"
"17010303","Coeur d'Alene Lake"
"17010304","St. Joe"
"17040104","Palisades"
"17040201","Idaho Falls"
"17040202","Upper Henrys"
"17040203","Lower Henrys"
"17040205","Willow"
"17040206","American Falls"
"17040207","Blackfoot"
"17040208","Portneuf"
"17040209","Lake Walcott"
"17040212","Upper Snake-Rock"
"17040214","Beaver-Camas"
"17040215","Medicine Lodge"
"17040216","Birch"
"17040217","Little Lost"
"17040218","Big Lost"
"17040219","Big Wood"
"17040220","Camas"
"17040221","Little Wood"
"17050101","C.J. Strike Reservoir"
"17050111","North and Middle Forks Boise"
"17050112","Boise-Mores"
"17050113","South Fork Boise"
"17050114","Lower Boise"
"17050120","South Fork Payette"
"17050121","Middle Fork Payette"
"17050122","Payette"
"17050123","North Fork Payette"
"17050124","Weiser"
"17060201","Upper Salmon"
"17060202","Pahsimeroi"
"17060203","Middle Salmon-Panther"
"17060204","Lemhi"
"17060205","Upper Middle Fork Salmon"
"17060206","Lower Middle Fork Salmon"
"17060207","Middle Salmon-Chamberlain"
"17060208","South Fork Salmon"
"17060209","Lower Salmon"
"17060210","Little Salmon"
"17060301","Upper Selway"
"17060302","Lower Selway"
"17060303","Lochsa"
"17060304","Middle Fork Clearwater"
"17060305","South Fork Clearwater"
"17060306","Clearwater"
"17060307","Upper North Fork Clearwater"
"17060308","Lower North Fork Clearwater"
"17010104","Lower Kootenai"
"17010105","Moyie"
"17040211","Goose"
"17050103","Middle Snake-Succor"
"17050107","Middle Owyhee"
"17050108","Jordan"
"17050115","Middle Snake-Payette"
"17060101","Hells Canyon"
"17010214","Pend Oreille Lake"
"17010215","Priest"
"17010306","Hangman"
"17040105","Salt"
"17040204","Teton"
"17010204","Middle Clark Fork"
"17010205","Bitterroot"
"17010103","Yaak"
"17010213","Lower Clark Fork"
"17010101","Middle Kootenai"
"17050102","Bruneau"
"17050104","Upper Owyhee"
"17050105","South Fork Owyhee"
"17050106","East Little Owyhee"
"17050109","Crooked-Rattlesnake"
"17050110","Lower Owyhee"
"17050116","Upper Malheur"
"17050118","Bully"
"17050119","Willow"
"17050202","Burnt"
"17050203","Powder"
"17060102","Imnaha"
"17060104","Upper Grande Ronde"
"17060105","Wallowa"
"17060106","Lower Grande Ronde"
"17070103","Umatilla"
"17070104","Willow"
"17070201","Upper John Day"
"17070202","North Fork John Day"
"17070203","Middle Fork John Day"
"17070204","Lower John Day"
"17070301","Upper Deschutes"
"17070302","Little Deschutes"
"17070303","Beaver-South Fork"
"17070304","Upper Crooked"
"17070305","Lower Crooked"
"17070306","Lower Deschutes"
"17070307","Trout"
"17090001","Middle Fork Willamette"
"17090002","Coast Fork Willamette"
"17090003","Upper Willamette"
"17090004","Mckenzie"
"17090005","North Santiam"
"17090006","South Santiam"
"17090007","Middle Willamette"
"17090008","Yamhill"
"17090009","Molalla-Pudding"
"17090010","Tualatin"
"17090011","Clackamas"
"17050201","Brownlee Reservoir"
"17060103","Lower Snake-Asotin"
"17070101","Middle Columbia-Lake Wallula"
"17070102","Walla Walla"
"17070105","Middle Columbia-Hood"
"17080001","Lower Columbia-Sandy"
"17080003","Lower Columbia-Clatskanie"
"17080006","Lower Columbia"
"17040210","Raft"
"17010307","Lower Spokane"
"17010308","Little Spokane"
"17020003","Colville"
"17020004","Sanpoil"
"17020005","Chief Joseph"
"17020008","Methow"
"17020009","Lake Chelan"
"17020010","Upper Columbia-Entiat"
"17020011","Wenatchee"
"17020012","Moses Coulee"
"17020013","Upper Crab"
"17020014","Banks Lake"
"17020015","Lower Crab"
"17020016","Upper Columbia-Priest Rapids"
"17030001","Upper Yakima"
"17030002","Naches"
"17030003","Lower Yakima"
"17060110","Lower Snake"
"17070106","Klickitat"
"17080002","Lewis"
"17080004","Upper Cowlitz"
"17080005","Lower Cowlitz"
"17020001","Franklin D. Roosevelt Lake"
"17020002","Kettle"
"17020006","Okanogan"
"17020007","Similkameen"
"17010216","Pend Oreille"
"17010305","Upper Spokane"
"17060107","Lower Snake-Tucannon"
"17060108","Palouse"
"17060109","Rock"
"17040103","Greys-Hobock"
"17090012","Lower Willamette"
"10020001","Red Rock"
"10020004","Big Hole"
"10020007","Madison"
